first,last,Tossing_Percentage
Shawn,Camp,0.69610
Dallas,Keuchel,0.69924
Carl,Pavano,0.70167
Chris,Volstad,0.71172
Chad,Qualls,0.71243
Kyle,Davies,0.71532
Jordan,Lyles,0.71942
Scott,Diamond,0.72434
Jeff,Francis,0.73889
James,Russell,0.74189
Blake,Beavan,0.74281
Josh,Tomlin,0.74491
Rodrigo,Lopez,0.77296
Tim,Wakefield,0.77739
Zach,Duke,0.79779
Brad,Bergesen,0.80728
Brad,Penny,0.81557
Aaron,Cook,0.81742
Nick,Blackburn,0.86524
