first,last,Tossing_Percentage,era
Javier,Vazquez,0.58238,4.3516
John,Lackey,0.58320,4.2516
Jon,Garland,0.58321,4.0884
Bruce,Chen,0.58349,3.9906
Luke,Hochevar,0.58798,4.3746
Phil,Hughes,0.58910,4.2450
Zach,McAllister,0.59080,4.4232
Barry,Zito,0.59109,4.0645
Brian,Matusz,0.59162,4.5342
Jair,Jurrjens,0.59242,3.7478
Mark,Buehrle,0.59497,3.7917
Burke,Badenhop,0.59553,5.1000
Mike,Leake,0.59680,3.9247
Matt,Albers,0.59804,5.8347
Mike,Pelfrey,0.59824,3.9866
Lucas,Harrell,0.60351,4.6228
Scott,Kazmir,0.60417,4.5273
Charlie,Morton,0.60471,4.5818
Zachary,Britton,0.60733,4.5000
Jake,Westbrook,0.60793,4.1420
John,Lannan,0.60955,4.0000
Juan,Nicasio,0.60961,4.4851
Scott,Feldman,0.60991,4.4381
Randy,Wells,0.61352,4.3440
Jake,Arrieta,0.61607,4.7734
Anthony,Swarzak,0.61805,4.6268
Wade,LeBlanc,0.62011,4.2250
Vin,Mazzaro,0.62085,4.5662
Clayton,Richard,0.62146,4.0500
Derek,Lowe,0.62339,4.4684
Randy,Wolf,0.62568,4.2794
Brian,Duensing,0.62681,4.5875
Bronson,Arroyo,0.62965,3.9126
Jeff,Karstens,0.63003,4.0488
Freddy,Garcia,0.63219,4.1207
Tyler,Chatwood,0.63400,4.3776
Luis,Mendoza,0.63644,4.2407
Jerome,Williams,0.64185,4.4006
Fausto,Carmona,0.64433,4.3710
Rick,Porcello,0.64509,4.3556
Kyle,Kendrick,0.64543,4.2588
Philip,Humber,0.64554,4.8879
Livan,Hernandez,0.64698,4.2976
Ross,Ohlendorf,0.64983,4.6171
Jeremy,Guthrie,0.65117,4.1697
Tommy,Hunter,0.65418,4.1416
Kevin,Millwood,0.65744,4.6826
Kevin,Correia,0.65863,4.2438
Esmil,Rogers,0.66191,5.3138
Henderson,Alvarez,0.66577,4.1178
Joe,Saunders,0.66681,4.1707
